# 2WD PID 循线 · S 弯赛道 · Kp=0.6 Ki=0 Kd=6 · 100 Hz
t,nL,nM,nR,error,u,pwmL,pwmR,state
0.010,0.0440,0.9800,0.0040,-3.89,-2.33,116,148,STRAIGHT
0.020,0.0240,1.0000,0.0320,0.76,28.35,150,93,STRAIGHT
0.030,0.0240,0.9880,0.0200,-0.39,-7.10,109,150,STRAIGHT
0.040,0.0240,1.0000,0.0240,0.00,2.33,123,140,STRAIGHT
0.050,0.0520,0.9840,0.0200,-3.03,-20.00,90,150,STRAIGHT
0.060,0.0120,0.9520,0.0280,1.61,28.83,150,92,STRAIGHT
0.070,0.0240,0.9720,0.0280,0.39,-7.10,109,150,STRAIGHT
0.080,0.0400,1.0000,0.0200,-1.89,-14.80,98,150,STRAIGHT
0.090,0.0400,0.9760,0.0240,-1.54,1.17,122,142,STRAIGHT
0.100,0.0240,0.9560,0.0000,-2.45,-6.93,110,150,STRAIGHT
0.110,0.0640,0.9560,0.0200,-4.23,-13.23,100,150,STRAIGHT
0.120,0.0400,1.0000,0.0320,-0.75,20.46,150,107,STRAIGHT
0.130,0.0240,0.9960,0.0200,-0.38,1.94,123,141,STRAIGHT
0.140,0.0200,0.9680,0.0280,0.79,7.50,131,130,STRAIGHT
0.150,0.0320,1.0000,0.0360,0.37,-2.25,117,148,STRAIGHT
0.160,0.0440,0.9960,0.0280,-1.50,-12.13,102,150,STRAIGHT
0.170,0.0320,0.9480,0.0200,-1.20,1.07,122,142,STRAIGHT
0.180,0.0040,1.0000,0.0080,0.40,9.81,135,126,STRAIGHT
0.190,0.0280,1.0000,0.0280,0.00,-2.37,116,148,STRAIGHT
0.200,0.0320,0.9640,0.0120,-1.98,-13.10,100,150,STRAIGHT
0.210,0.0200,1.0000,0.0240,0.38,14.43,142,118,STRAIGHT
0.220,0.0200,0.9560,0.0280,0.80,2.96,124,139,STRAIGHT
0.230,0.0400,1.0000,0.0120,-2.66,-22.35,86,150,STRAIGHT
0.240,0.0360,0.9760,0.0080,-2.75,-2.15,117,148,STRAIGHT
0.250,0.0120,1.0000,0.0240,1.16,24.12,150,101,STRAIGHT
0.260,0.0320,0.9920,0.0240,-0.76,-11.99,102,150,STRAIGHT
0.270,0.0120,0.9880,0.0200,0.78,9.76,135,126,STRAIGHT
0.280,0.0320,0.9800,0.0000,-3.16,-25.58,82,150,STRAIGHT
0.290,0.0480,0.9520,0.0320,-1.55,8.74,133,128,STRAIGHT
0.300,0.0280,1.0000,0.0240,-0.38,6.79,130,132,STRAIGHT
0.310,0.0200,0.9720,0.0360,1.56,12.55,139,121,STRAIGHT
0.320,0.0240,0.9920,0.0480,2.26,5.55,128,134,STRAIGHT
0.330,0.0480,1.0000,0.0160,-3.01,-33.38,70,150,STRAIGHT
0.340,0.0320,1.0000,0.0200,-1.14,10.52,136,125,STRAIGHT
0.350,0.0160,0.9840,0.0360,1.93,19.59,149,109,STRAIGHT
0.360,0.0240,0.9920,0.0240,0.00,-11.58,103,150,STRAIGHT
0.370,0.0240,1.0000,0.0240,0.00,0.00,120,144,STRAIGHT
0.380,0.0160,0.9800,0.0200,0.39,2.60,124,139,STRAIGHT
0.390,0.0200,1.0000,0.0200,0.00,-2.36,116,148,STRAIGHT
0.400,0.0160,0.9760,0.0160,0.00,0.00,120,144,STRAIGHT
0.410,0.0120,0.9840,0.0200,0.79,5.20,128,135,STRAIGHT
0.420,0.0480,0.9840,0.0240,-2.27,-19.72,90,150,STRAIGHT
0.430,0.0240,1.0000,0.0280,0.38,16.15,144,115,STRAIGHT
0.440,0.0080,0.9880,0.0080,0.00,-2.28,117,148,STRAIGHT
0.450,0.0320,0.9960,0.0440,1.12,7.39,131,131,STRAIGHT
0.460,0.0160,0.9840,0.0040,-1.20,-14.60,98,150,STRAIGHT
0.470,0.0280,0.9920,0.0400,1.13,14.64,142,118,STRAIGHT
0.480,0.0320,0.9680,0.0480,1.53,3.28,125,138,STRAIGHT
0.490,0.0120,1.0000,0.0240,1.16,-1.52,118,147,STRAIGHT
0.500,0.0320,0.9760,0.0440,1.14,0.58,121,143,STRAIGHT
0.510,0.0240,0.9840,0.0080,-1.57,-17.24,94,150,STRAIGHT
0.520,0.0400,0.9760,0.0160,-2.33,-5.90,111,150,STRAIGHT
0.530,0.0360,1.0000,0.0360,0.00,13.95,141,119,STRAIGHT
0.540,0.0120,0.9680,0.0160,0.40,2.65,124,139,STRAIGHT
0.550,0.0200,0.9960,0.0120,-0.78,-7.55,109,150,STRAIGHT
0.560,0.0200,0.9920,0.0240,0.39,7.22,131,131,STRAIGHT
0.570,0.0440,0.9760,0.0200,-2.31,-17.55,94,150,STRAIGHT
0.580,0.0200,0.9840,0.0400,1.92,26.49,150,96,STRAIGHT
0.590,0.0280,0.9640,0.0120,-1.59,-22.01,87,150,STRAIGHT
0.600,0.0120,1.0000,0.0160,0.39,12.13,138,122,STRAIGHT
0.610,0.0400,0.9760,0.0240,-1.54,-12.49,101,150,STRAIGHT
0.620,0.0160,1.0000,0.0360,1.90,21.78,150,105,STRAIGHT
0.630,0.0240,0.9800,0.0240,0.00,-11.41,103,150,STRAIGHT
0.640,0.0200,0.9800,0.0280,0.78,5.14,128,135,STRAIGHT
0.650,0.0280,0.9760,0.0280,0.00,-4.67,113,150,STRAIGHT
0.660,0.0320,0.9720,0.0440,1.15,7.56,131,130,STRAIGHT
0.670,0.0160,1.0000,0.0200,0.39,-4.32,114,150,STRAIGHT
0.680,0.0320,0.9760,0.0240,-0.78,-7.43,109,150,STRAIGHT
0.690,0.0080,1.0000,0.0200,1.17,12.36,139,122,STRAIGHT
0.700,0.0360,1.0000,0.0240,-1.13,-14.48,98,150,STRAIGHT
0.710,0.0360,0.9960,0.0320,-0.38,4.31,126,136,STRAIGHT
0.720,0.0480,1.0000,0.0240,-2.24,-12.52,101,150,STRAIGHT
0.730,0.0280,0.9720,0.0280,0.00,13.43,140,120,STRAIGHT
0.740,0.0400,0.9920,0.0120,-2.68,-17.70,93,150,STRAIGHT
0.750,0.0320,0.9920,0.0520,1.86,28.36,150,93,STRAIGHT
0.760,0.0120,0.9800,0.0200,0.79,-5.94,111,150,STRAIGHT
0.770,0.0440,0.9840,0.0040,-3.88,-30.32,75,150,STRAIGHT
0.780,0.0240,0.9800,0.0360,1.15,30.87,150,88,STRAIGHT
0.790,0.0400,0.9920,0.0240,-1.52,-16.92,95,150,STRAIGHT
