# RoboMaster EP 蓝线巡航 · KP_LINE=280 KI_LINE=0 KD_LINE=30 · LOOP_HZ=30
t,linePos,error,u,v,state,markerId
0.033,0.5000,0.0000,0.00,0.250,FOLLOW,
0.067,0.5000,0.0000,0.00,0.250,FOLLOW,
0.100,0.3009,-0.1991,-234.94,0.170,FOLLOW,
0.133,0.2835,-0.2165,-76.24,0.163,FOLLOW,
0.167,0.2756,-0.2244,-69.95,0.160,FOLLOW,
0.200,0.2782,-0.2218,-59.77,0.161,FOLLOW,
0.233,0.2976,-0.2024,-39.23,0.169,FOLLOW,
0.267,0.3097,-0.1903,-42.38,0.174,FOLLOW,
0.300,0.3324,-0.1676,-26.48,0.183,FOLLOW,
0.333,0.3411,-0.1589,-36.72,0.186,FOLLOW,
0.367,0.3608,-0.1392,-21.27,0.194,FOLLOW,
0.400,0.3548,-0.1452,-46.01,0.192,FOLLOW,
0.433,0.3774,-0.1226,-13.96,0.201,FOLLOW,
0.467,0.3684,-0.1316,-44.95,0.197,FOLLOW,
0.500,0.3950,-0.1050,-5.53,0.208,FOLLOW,
0.533,0.3928,-0.1072,-32.00,0.207,FOLLOW,
0.567,0.3939,-0.1061,-28.71,0.208,FOLLOW,
0.600,0.4057,-0.0943,-15.80,0.212,FOLLOW,
0.633,0.4129,-0.0871,-17.92,0.215,FOLLOW,
0.667,0.3996,-0.1004,-40.06,0.210,FOLLOW,
0.700,0.4023,-0.0977,-24.89,0.211,FOLLOW,
0.733,0.4080,-0.0920,-20.64,0.213,FOLLOW,
0.767,0.4186,-0.0814,-13.24,0.217,FOLLOW,
0.800,0.4207,-0.0793,-20.32,0.218,FOLLOW,
0.833,0.4196,-0.0804,-23.45,0.218,FOLLOW,
0.867,0.4254,-0.0746,-15.70,0.220,FOLLOW,
0.900,0.4230,-0.0770,-23.78,0.219,FOLLOW,
0.933,0.4247,-0.0753,-19.46,0.220,FOLLOW,
0.967,0.4303,-0.0697,-14.49,0.222,FOLLOW,
1.000,0.4307,-0.0693,-19.04,0.222,FOLLOW,
1.033,0.4322,-0.0678,-17.65,0.223,FOLLOW,
1.067,0.4226,-0.0774,-30.33,0.219,FOLLOW,
1.100,0.4318,-0.0682,-10.80,0.223,FOLLOW,
1.133,0.4312,-0.0688,-19.79,0.222,FOLLOW,
1.167,0.4287,-0.0713,-22.21,0.221,FOLLOW,
1.200,0.4389,-0.0611,-7.92,0.226,FOLLOW,
1.233,0.4435,-0.0565,-11.66,0.227,FOLLOW,
1.267,0.4377,-0.0623,-22.72,0.225,FOLLOW,
1.300,0.4450,-0.0550,-8.81,0.228,FOLLOW,
1.333,0.4369,-0.0631,-24.95,0.225,FOLLOW,
1.367,0.4449,-0.0551,-8.28,0.228,FOLLOW,
1.400,0.4406,-0.0594,-20.49,0.226,FOLLOW,
1.433,0.4342,-0.0658,-24.12,0.224,FOLLOW,
1.467,0.4255,-0.0745,-28.77,0.220,FOLLOW,
1.500,0.4263,-0.0737,-19.86,0.221,FOLLOW,
1.533,0.4425,-0.0575,-1.58,0.227,FOLLOW,
1.567,0.4437,-0.0563,-14.65,0.227,FOLLOW,
1.600,0.4385,-0.0615,-21.96,0.225,FOLLOW,
1.633,0.4338,-0.0662,-22.70,0.224,FOLLOW,
1.667,0.4387,-0.0613,-12.79,0.225,FOLLOW,
1.700,0.4457,-0.0543,-8.90,0.228,FOLLOW,
1.733,0.4453,-0.0547,-15.72,0.228,FOLLOW,
1.767,0.4406,-0.0594,-20.81,0.226,FOLLOW,
1.800,0.4415,-0.0585,-15.60,0.227,FOLLOW,
1.833,0.4433,-0.0567,-14.23,0.227,FOLLOW,
1.867,0.4354,-0.0646,-25.20,0.224,FOLLOW,
1.900,0.4378,-0.0622,-15.30,0.225,FOLLOW,
1.933,0.4376,-0.0624,-17.58,0.225,FOLLOW,
1.967,0.4415,-0.0585,-12.90,0.227,FOLLOW,
2.000,0.4358,-0.0642,-23.07,0.224,FOLLOW,
2.033,0.4381,-0.0619,-15.28,0.225,FOLLOW,
2.067,0.4457,-0.0543,-8.42,0.228,FOLLOW,
2.100,0.4453,-0.0547,-15.63,0.228,FOLLOW,
2.133,0.4436,-0.0564,-17.37,0.227,FOLLOW,
2.167,0.4443,-0.0557,-14.96,0.228,FOLLOW,
2.200,0.4415,-0.0585,-18.88,0.227,FOLLOW,
2.233,0.4358,-0.0642,-23.07,0.224,FOLLOW,
2.267,0.4411,-0.0589,-11.80,0.226,FOLLOW,
2.300,0.4381,-0.0619,-20.04,0.225,FOLLOW,
2.333,0.4450,-0.0550,-9.14,0.228,FOLLOW,
2.367,0.4464,-0.0536,-13.78,0.229,FOLLOW,
2.400,0.4476,-0.0524,-13.54,0.229,FOLLOW,
2.433,0.4550,-0.0450,-6.00,0.232,FOLLOW,
2.467,0.4526,-0.0474,-15.37,0.231,FOLLOW,
2.500,0.4536,-0.0464,-12.08,0.231,FOLLOW,
2.533,0.4581,-0.0419,-7.74,0.233,FOLLOW,
2.567,0.4571,-0.0429,-12.88,0.233,FOLLOW,
2.600,0.4521,-0.0479,-17.88,0.231,FOLLOW,
2.633,0.4512,-0.0488,-14.45,0.230,FOLLOW,
2.667,0.4531,-0.0469,-11.43,0.231,FOLLOW,
2.700,0.4673,-0.0327,3.57,0.237,FOLLOW,
2.733,0.4525,-0.0475,-26.54,0.231,FOLLOW,
2.767,0.4591,-0.0409,-5.56,0.234,FOLLOW,
2.800,0.4510,-0.0490,-20.96,0.230,FOLLOW,
2.833,0.4609,-0.0391,-2.13,0.234,FOLLOW,
2.867,0.4522,-0.0478,-21.13,0.231,FOLLOW,
2.900,0.4524,-0.0476,-13.16,0.231,FOLLOW,
2.933,0.4584,-0.0416,-6.20,0.233,FOLLOW,
2.967,0.4547,-0.0453,-16.05,0.232,FOLLOW,
3.000,0.4581,-0.0419,-8.65,0.233,FOLLOW,
3.033,0.4611,-0.0389,-8.26,0.234,FOLLOW,
3.067,0.4504,-0.0496,-23.47,0.230,FOLLOW,
3.100,0.4549,-0.0451,-8.56,0.232,FOLLOW,
3.133,0.4527,-0.0473,-15.26,0.231,FOLLOW,
3.167,0.4610,-0.0390,-3.41,0.234,FOLLOW,
3.200,0.4549,-0.0451,-18.19,0.232,FOLLOW,
3.233,0.4590,-0.0410,-7.77,0.234,FOLLOW,
3.267,0.4570,-0.0430,-13.81,0.233,FOLLOW,
3.300,0.4529,-0.0471,-16.84,0.231,FOLLOW,
3.333,0.4507,-0.0493,-15.83,0.230,FOLLOW,
3.367,0.4566,-0.0434,-6.80,0.233,FOLLOW,
3.400,0.4625,-0.0375,-5.27,0.235,FOLLOW,
3.433,0.4674,-0.0326,-4.65,0.237,FOLLOW,
3.467,0.4622,-0.0378,-15.27,0.235,FOLLOW,
3.500,0.4586,-0.0414,-14.81,0.233,FOLLOW,
3.533,0.4550,-0.0450,-15.89,0.232,FOLLOW,
3.567,0.4647,-0.0353,-1.09,0.236,FOLLOW,
3.600,0.4640,-0.0360,-10.79,0.236,FOLLOW,
3.633,0.4718,-0.0282,-0.79,0.239,FOLLOW,
3.667,0.4730,-0.0270,-6.47,0.239,FOLLOW,
3.700,0.4613,-0.0387,-21.35,0.235,FOLLOW,
3.733,0.4670,-0.0330,-4.13,0.237,FOLLOW,
3.767,0.4615,-0.0385,-15.73,0.235,FOLLOW,
3.800,0.4712,-0.0288,0.71,0.238,FOLLOW,
3.833,0.4695,-0.0305,-10.10,0.238,FOLLOW,
3.867,0.4643,-0.0357,-14.68,0.236,FOLLOW,
3.900,0.4688,-0.0312,-4.67,0.238,FOLLOW,
3.933,0.4685,-0.0315,-9.06,0.237,FOLLOW,
3.967,0.4615,-0.0385,-17.09,0.235,FOLLOW,
4.000,0.4660,-0.0340,-5.55,0.236,FOLLOW,
4.033,0.4640,-0.0360,-11.80,0.236,FOLLOW,
4.067,0.4651,-0.0349,-8.83,0.236,FOLLOW,
4.100,0.4703,-0.0297,-3.56,0.238,FOLLOW,
4.133,0.4708,-0.0292,-7.73,0.238,FOLLOW,
4.167,0.4695,-0.0305,-9.75,0.238,FOLLOW,
4.200,0.4716,-0.0284,-6.01,0.239,FOLLOW,
4.233,0.4653,-0.0347,-15.46,0.236,FOLLOW,
4.267,0.4667,-0.0333,-8.01,0.237,FOLLOW,
4.300,0.4608,-0.0392,-16.33,0.234,FOLLOW,
4.333,0.4691,-0.0309,-1.11,0.238,FOLLOW,
4.367,0.4668,-0.0332,-11.37,0.237,FOLLOW,
4.400,0.4723,-0.0277,-2.89,0.239,FOLLOW,
4.433,0.4686,-0.0314,-12.09,0.237,FOLLOW,
4.467,0.4754,-0.0246,-0.76,0.240,FOLLOW,
4.500,0.4729,-0.0271,-9.80,0.239,FOLLOW,
4.533,0.4836,-0.0164,5.06,0.243,FOLLOW,
4.567,0.4695,-0.0305,-21.32,0.238,FOLLOW,
4.600,0.4709,-0.0291,-6.85,0.238,FOLLOW,
4.633,0.4649,-0.0351,-15.19,0.236,FOLLOW,
4.667,0.4695,-0.0305,-4.45,0.238,FOLLOW,
4.700,0.4657,-0.0343,-12.98,0.236,FOLLOW,
4.733,0.4700,-0.0300,-4.55,0.238,FOLLOW,
4.767,0.4681,-0.0319,-10.63,0.237,FOLLOW,
4.800,0.4748,-0.0252,-1.03,0.240,FOLLOW,
4.833,0.4776,-0.0224,-3.77,0.241,FOLLOW,
4.867,0.4673,-0.0327,-18.45,0.237,FOLLOW,
4.900,0.4739,-0.0261,-1.30,0.240,FOLLOW,
4.933,0.4663,-0.0337,-16.34,0.237,FOLLOW,
4.967,0.4681,-0.0319,-7.34,0.237,FOLLOW,
5.000,0.4589,-0.0411,-19.71,0.234,FOLLOW,
5.033,0.4654,-0.0346,-3.91,0.236,FOLLOW,
5.067,0.4632,-0.0368,-12.27,0.235,FOLLOW,
5.100,0.4676,-0.0324,-5.10,0.237,FOLLOW,
5.133,0.4757,-0.0243,0.55,0.240,FOLLOW,
5.167,0.4724,-0.0276,-10.79,0.239,FOLLOW,
5.200,0.4722,-0.0278,-7.94,0.239,FOLLOW,
5.233,0.4651,-0.0349,-16.18,0.236,FOLLOW,
5.267,0.4655,-0.0345,-9.25,0.236,FOLLOW,
5.300,0.4733,-0.0267,-0.46,0.239,FOLLOW,
5.333,0.4774,-0.0226,-2.67,0.241,FOLLOW,
5.367,0.4809,-0.0191,-2.17,0.242,FOLLOW,
5.400,0.4823,-0.0177,-3.71,0.243,FOLLOW,
5.433,0.4793,-0.0207,-8.53,0.242,FOLLOW,
5.467,0.4682,-0.0318,-18.87,0.237,FOLLOW,
5.500,0.4653,-0.0347,-12.36,0.236,FOLLOW,
5.533,0.4709,-0.0291,-3.02,0.238,FOLLOW,
5.567,0.4702,-0.0298,-9.03,0.238,FOLLOW,
5.600,0.4645,-0.0355,-15.11,0.236,FOLLOW,
5.633,0.4662,-0.0338,-7.95,0.236,FOLLOW,
5.667,0.4753,-0.0247,1.33,0.240,FOLLOW,
5.700,0.4704,-0.0296,-12.72,0.238,FOLLOW,
5.733,0.4718,-0.0282,-6.62,0.239,FOLLOW,
5.767,0.4739,-0.0261,-5.47,0.240,FOLLOW,
5.800,0.4708,-0.0292,-10.93,0.238,FOLLOW,
5.833,0.4759,-0.0241,-2.14,0.240,FOLLOW,
5.867,0.4711,-0.0289,-12.37,0.238,FOLLOW,
5.900,0.4741,-0.0259,-4.62,0.240,FOLLOW,
5.933,0.4634,-0.0366,-19.85,0.235,FOLLOW,
5.967,0.4723,-0.0277,0.29,0.239,FOLLOW,
6.000,0.4665,-0.0335,-14.64,0.237,FOLLOW,
6.033,0.4668,-0.0332,-9.04,0.237,FOLLOW,
6.067,0.4703,-0.0297,-5.20,0.238,FOLLOW,
6.100,0.4751,-0.0249,-2.67,0.240,FOLLOW,
6.133,0.4782,-0.0218,-3.31,0.241,FOLLOW,
